section,program_title,current_slug,matched_source_folder,matched_source_file,matching_reason,confidence,existing_media_count,new_media_count,primary_image_status,gallery_status,seo_metadata_status,legacy_candidates,action
tour,"11-Day Morocco Desert Tour from Marrakech",11-day-morocco-desert-tour-from-marrakech,"assets/images/programs/Tours from Marrakech/11-day around Morocco from Marrakech",11-day-around-morocco-from-marrakech-essaouira-beach-camels-surfer-cover.webp,"normalized-exact: Duration matches: 11 days | Origin matches: Marrakech | Grand loop itinerary (Sahara, Fes, Chefchaouen, Rabat) matches 'around Morocco'",0.92,2,0,attached,attached,complete,,attached
tour,"2-Day Desert Tour from Marrakech to Agadir",2-day-desert-tour-from-marrakech-to-agadir,"assets/images/programs/Tours from Marrakech/2-day Marrakech to Agadir",2-day-marrakech-to-agadir-agadir-beach-atlantic-bay-cover.webp,"normalized-exact: Duration matches: 2 days | Origin matches: Marrakech | Destination matches: Agadir",0.97,2,0,attached,attached,complete,,attached
tour,"2-Day Desert Tour from Marrakech to Agadir & Essaouira",2-day-desert-tour-from-marrakech-to-agadir-essaouira,"assets/images/programs/Tours from Marrakech/2-day Marrakech to Ait Benhaddou Agadir and Essaouira",2-day-marrakech-to-ait-benhaddou-agadir-and-essaouira-ait-benhaddou-kasbah-sunset-cover.webp,"high-confidence: Duration matches: 2 days | Origin matches: Marrakech | Destinations match: Agadir and Essaouira | Only remaining Marrakech 2-day coastal program",0.82,2,0,attached,attached,complete,,attached
tour,"2-Day Desert Tour from Marrakech to Ouarzazate & Aït Benhaddou",2-day-desert-tour-from-marrakech-to-ouarzazate-ait-benhaddou,"assets/images/programs/Tours from Marrakech/2-day Marrakech to Ait Benhaddou and Ouarzazate",2-day-marrakech-to-ait-benhaddou-and-ouarzazate-ait-benhaddou-kasbah-reflection-cover.webp,"normalized-exact: Duration matches: 2 days | Origin matches: Marrakech | Destinations match: Ait Benhaddou and Ouarzazate",0.95,2,0,attached,attached,complete,,attached
tour,"2-Day Marrakech Desert Tour to Casablanca & Rabat",2-day-marrakech-desert-tour-to-casablanca-rabat,"assets/images/programs/Tours from Marrakech/2-day Marrakech to Casablanca and Rabat",2-day-marrakech-to-casablanca-and-rabat-hassan-ii-mosque-casablanca-cover.webp,"normalized-exact: Duration matches: 2 days | Origin matches: Marrakech | Destinations match: Casablanca and Rabat",0.95,2,0,attached,attached,complete,,attached
tour,"2-Day Marrakech Desert Tour to Essaouira",2-day-marrakech-desert-tour-to-essaouira,"assets/images/programs/Tours from Marrakech/2-day Marrakech to Essaouira",2-day-marrakech-to-essaouira-essaouira-fishing-boat-seagulls-cover.webp,"normalized-exact: Duration matches: 2 days | Origin matches: Marrakech | Destination matches: Essaouira",0.95,2,0,attached,attached,complete,,attached
tour,"Merzouga Desert Tour from Marrakech — 2 Days",merzouga-desert-tour-from-marrakech-2-days,"assets/images/programs/Tours from Marrakech/2-day Marrakech to Merzouga desert",2-day-marrakech-to-merzouga-desert-erg-chebbi-camel-caravan-sunset-cover.webp,"normalized-exact: Duration matches: 2 days | Origin matches: Marrakech | Destination matches: Merzouga desert",0.93,2,0,attached,attached,complete,,attached
tour,"2-Day Sahara Desert Tour from Marrakech to Zagora",2-day-sahara-desert-tour-from-marrakech-to-zagora,"assets/images/programs/Tours from Marrakech/2-day Marrakech to Zagora",2-day-marrakech-to-zagora-zagora-desert-camel-trek-sunset-cover.webp,"normalized-exact: Duration matches: 2 days | Origin matches: Marrakech | Destination matches: Zagora",0.95,2,0,attached,attached,complete,,attached
tour,"Sahara Desert Tour from Marrakech — 3 Days to Chigaga",sahara-desert-tour-from-marrakech-3-days-to-chigaga,"assets/images/programs/Tours from Marrakech/3-day Marrakech to Chigaga desert",3-day-marrakech-to-chigaga-desert-erg-chigaga-luxury-camp-tents-cover.webp,"normalized-exact: Duration matches: 3 days | Origin matches: Marrakech | Destination matches: Chigaga (not Merzouga)",0.93,2,0,attached,attached,complete,,attached
tour,"Marrakech Desert Tour 3 Days to Merzouga Dunes",marrakech-desert-tour-3-days-to-merzouga-dunes,"assets/images/programs/Tours from Marrakech/3-day Marrakech to Merzouga desert",3-day-marrakech-to-merzouga-desert-merzouga-sand-throwing-sunset-cover.webp,"normalized-exact: Duration matches: 3 days | Origin matches: Marrakech | Destination matches: Merzouga dunes | Return-loop program distinct from the Fes one-way variant",0.93,2,0,attached,attached,complete,,attached
tour,"Marrakech to Fes Desert Tour — 3 Days via Sahara",marrakech-to-fes-desert-tour-3-days-via-sahara,"assets/images/programs/Tours from Marrakech/3-day Marrakech to Merzouga and Fes",3-day-marrakech-to-merzouga-and-fes-fes-medina-tanneries-aerial-cover.webp,"high-confidence: Duration matches: 3 days | Origin matches: Marrakech | One-way endpoint matches: Fes | Merzouga is the Sahara leg of the Marrakech-Fes crossing",0.88,2,0,attached,attached,complete,,attached
tour,"4 Day Desert Tour from Marrakech to Merzouga",4-day-desert-tour-from-marrakech-to-merzouga,"assets/images/programs/Tours from Marrakech/4-day Marrakech to Merzouga",4-day-marrakech-to-merzouga-erg-chebbi-camel-trek-tourists-cover.webp,"normalized-exact: Duration matches: 4 days | Origin matches: Marrakech | Destination matches: Merzouga",0.97,2,0,attached,attached,complete,,attached
tour,"4-Day Desert Tour from Marrakech via Sahara to Chefchaouen",4-day-desert-tour-from-marrakech-via-sahara-to-chefchaouen,"assets/images/programs/Tours from Marrakech/4-day Marrakech to Chefchaouen via Sahara",4-day-marrakech-to-chefchaouen-via-sahara-chefchaouen-blue-medina-archway-cover.webp,"normalized-exact: Duration matches: 4 days | Origin matches: Marrakech | Endpoint matches: Chefchaouen | Route via Sahara matches",0.97,2,0,attached,attached,complete,,attached
tour,"Luxury Sahara Desert Tour from Marrakech — 5 Days",luxury-sahara-desert-tour-from-marrakech-5-days,"assets/images/programs/Tours from Marrakech/5-day Marrakech to Merzouga desert",5-day-marrakech-to-merzouga-desert-merzouga-desert-camp-aerial-cover.webp,"high-confidence: Duration matches: 5 days | Origin matches: Marrakech | Itinerary verified: Merzouga desert loop (Ait Benhaddou, Dades, Todra, Merzouga) | Only 5-day Marrakech desert program",0.85,2,0,attached,attached,complete,,attached
tour,"8 Days Marrakech: Zagora & Merzouga",8-days-marrakech-zagora-merzouga,"assets/images/programs/Tours from Marrakech/8-day Marrakech to Zagora and Merzouga",8-day-marrakech-to-zagora-and-merzouga-draa-valley-palm-grove-jbel-kissane-cover.webp,"normalized-exact: Duration matches: 8 days | Origin matches: Marrakech | Destinations match: Zagora and Merzouga",0.95,2,0,attached,attached,complete,,attached
tour,"8-Day Marrakech Sahara Desert Tour to Fes & Chefchaouen",8-day-marrakech-sahara-desert-tour-to-fes-chefchaouen,"assets/images/programs/Tours from Marrakech/8-day Marrakech desert Chefchaouen",8-day-marrakech-desert-chefchaouen-chefchaouen-blue-city-hillside-cover.webp,"high-confidence: Duration matches: 8 days | Origin matches: Marrakech | Endpoint matches: Chefchaouen | Distinct from the 8-day Zagora & Merzouga loop",0.88,2,0,attached,attached,complete,,attached
tour,"2 Days Fes to Chefchaouen",2-days-fes-to-chefchaouen,"assets/images/programs/Tours from Fes/2-day Fes to Chefchaouen and back",2-day-fes-to-chefchaouen-and-back-chefchaouen-medina-valley-panorama-cover.webp,"normalized-exact: Duration matches: 2 days | Origin matches: Fes | Destination matches: Chefchaouen | Itinerary verified: Day 2 returns Chefchaouen to Fes",0.92,2,0,attached,attached,complete,,attached
tour,"2 Days Fes to Sahara Desert & Back",2-days-fes-to-sahara-desert-back,"assets/images/programs/Tours from Fes/2-day Fes to Merzouga and back",2-day-fes-to-merzouga-and-back-merzouga-dome-desert-camp-dunes-cover.webp,"high-confidence: Duration matches: 2 days | Origin matches: Fes | Return route matches: '& Back' | Merzouga is the Sahara destination for Fes desert tours; only 2-day Fes desert program",0.88,2,0,attached,attached,complete,,attached
tour,"3 Days Fes to Merzouga Desert",3-days-fes-to-merzouga-desert,"assets/images/programs/Tours from Fes/3-day Fes to Merzouga desert and back",3-day-fes-to-merzouga-desert-and-back-merzouga-guided-camel-trek-cover.webp,"normalized-exact: Duration matches: 3 days | Origin matches: Fes | Destination matches: Merzouga | Itinerary verified: Day 3 returns Merzouga to Fes",0.92,2,0,attached,attached,complete,,attached
tour,"3-Day Fes to Marrakech Desert Tour via Sahara",3-day-fes-to-marrakech-desert-tour-via-sahara,"assets/images/programs/Tours from Fes/3-day Fes to Merzouga dunes and Marrakech",3-day-fes-to-merzouga-dunes-and-marrakech-todra-gorge-canyon-carpets-cover.webp,"high-confidence: Duration matches: 3 days | Origin matches: Fes | One-way endpoint matches: Marrakech | Sahara/Merzouga dunes leg matches 'via Sahara'",0.89,2,0,attached,attached,complete,,attached
tour,"4-Day Fes to Marrakech Desert Tour via Merzouga",4-day-fes-to-marrakech-desert-tour-via-merzouga,"assets/images/programs/Tours from Fes/4-day Fes to Sahara and Marrakech",4-day-fes-to-sahara-and-marrakech-merzouga-camel-caravan-sunset-cover.webp,"high-confidence: Duration matches: 4 days | Origin matches: Fes | One-way endpoint matches: Marrakech | Sahara leg matches 'via Merzouga'",0.89,2,0,attached,attached,complete,,attached
tour,"5-Day Fes to Marrakech Desert Tour via Sahara",5-day-fes-to-marrakech-desert-tour-via-sahara,"assets/images/programs/Tours from Fes/5-day Fes to Merzouga and Marrakech",5-day-fes-to-merzouga-and-marrakech-erg-chebbi-dune-berber-guide-cover.webp,"high-confidence: Duration matches: 5 days | Origin matches: Fes | One-way endpoint matches: Marrakech | Merzouga leg matches 'via Sahara'",0.89,2,0,attached,attached,complete,,attached
tour,"12-Day Morocco Desert Tours from Tangier",12-day-morocco-desert-tours-from-tangier,"assets/images/programs/Tours from Tangier/12-day Tangier grand tour",12-day-tangier-grand-tour-tangier-medina-old-walls-cover.webp,"normalized-exact: Duration matches: 12 days | Origin matches: Tangier | Only 12-day Tangier program; grand-tour scope matches",0.9,2,0,attached,attached,complete,,attached
tour,"2-Day Morocco Desert Tour from Tangier to Chefchaouen",2-day-morocco-desert-tour-from-tangier-to-chefchaouen,"assets/images/programs/Tours from Tangier/2-day Tangier to Chefchaouen",2-day-tangier-to-chefchaouen-cape-spartel-lighthouse-tangier-cover.webp,"normalized-exact: Duration matches: 2 days | Origin matches: Tangier | Destination matches: Chefchaouen",0.97,2,0,attached,attached,complete,,attached
tour,"3-Day Morocco Desert Tour from Tangier to Chefchaouen & Fes",3-day-morocco-desert-tour-from-tangier-to-chefchaouen-fes,"assets/images/programs/Tours from Tangier/3-day North Morocco from Tangier",3-day-north-morocco-from-tangier-tetouan-white-medina-square-cover.webp,"high-confidence: Duration matches: 3 days | Origin matches: Tangier | Itinerary is a northern-Morocco loop (Chefchaouen, Fes, Meknes, Rabat, Asilah) matching 'North Morocco' | Only 3-day Tangier program",0.82,2,0,attached,attached,complete,,attached
tour,"4-Day Morocco Desert Tour from Tangier to Fes via Atlantic Coast",4-day-morocco-desert-tour-from-tangier-to-fes-via-atlantic-coast,"assets/images/programs/Tours from Tangier/4-day Tangier to Fes and Atlantic coast",4-day-tangier-to-fes-and-atlantic-coast-asilah-medina-atlantic-coast-cover.webp,"normalized-exact: Duration matches: 4 days | Origin matches: Tangier | Endpoint matches: Fes | Route matches: Atlantic coast",0.95,2,0,attached,attached,complete,,attached
tour,"6-Day Morocco Desert Tour from Tangier to Sahara & Marrakech",6-day-morocco-desert-tour-from-tangier-to-sahara-marrakech,"assets/images/programs/Tours from Tangier/6-day Tangier to desert",6-day-tangier-to-desert-merzouga-dunes-quad-biking-cover.webp,"high-confidence: Duration matches: 6 days | Origin matches: Tangier | Itinerary verified: Merzouga desert on Days 4-5 | Only 6-day Tangier program",0.88,2,0,attached,attached,complete,,attached
tour,"9-Day Morocco Desert Tour from Tangier to Merzouga",9-day-morocco-desert-tour-from-tangier-to-merzouga,"assets/images/programs/Tours from Tangier/9-day Tangier to desert",9-day-tangier-to-desert-sahara-camel-caravan-dune-shadows-cover.webp,"high-confidence: Duration matches: 9 days | Origin matches: Tangier | Itinerary verified: Merzouga desert with camel trek | Only 9-day Tangier program",0.88,2,0,attached,attached,complete,,attached
tour,"2 Days Agadir to Zagora Desert",2-days-agadir-to-zagora-desert,"assets/images/programs/Tours from Agadir/2-day Agadir to Zagora desert",2-day-agadir-to-zagora-desert-draa-valley-kasbah-village-cover.webp,"normalized-exact: Duration matches: 2 days | Origin matches: Agadir | Destination matches: Zagora desert",0.98,2,0,attached,attached,complete,,attached
tour,"3 Days Agadir to Chigaga Desert",3-days-agadir-to-chigaga-desert,"assets/images/programs/Tours from Agadir/3-day Agadir to Chigaga desert",3-day-agadir-to-chigaga-desert-sahara-dunes-berber-tea-setting-cover.webp,"normalized-exact: Duration matches: 3 days | Origin matches: Agadir | Destination matches: Chigaga desert",0.98,2,0,attached,attached,complete,,attached
tour,"4 Days Agadir to Merzouga Desert",4-days-agadir-to-merzouga-desert,"assets/images/programs/Tours from Agadir/4-day Agadir to Merzouga desert",4-day-agadir-to-merzouga-desert-merzouga-dunes-motorbike-ride-cover.webp,"normalized-exact: Duration matches: 4 days | Origin matches: Agadir | Destination matches: Merzouga desert",0.98,2,0,attached,attached,complete,,attached
tour,"5-Day Morocco Desert Tour from Chefchaouen to Sahara",5-day-morocco-desert-tour-from-chefchaouen-to-sahara,"assets/images/programs/Tours from Chefchaouen/5-day Chefchaouen to Sahara desert",5-day-chefchaouen-to-sahara-desert-chefchaouen-rooftops-rif-mountains-cover.webp,"normalized-exact: Duration matches: 5 days | Origin matches: Chefchaouen | Destination matches: Sahara",0.95,2,0,attached,attached,complete,,attached
tour,"6-Day Morocco Desert Tour from Chefchaouen to Marrakech",6-day-morocco-desert-tour-from-chefchaouen-to-marrakech,"assets/images/programs/Tours from Chefchaouen/6-day Chefchaouen to Marrakech desert",6-day-chefchaouen-to-marrakech-desert-sahara-luxury-desert-camp-dining-cover.webp,"normalized-exact: Duration matches: 6 days | Origin matches: Chefchaouen | Endpoint matches: Marrakech",0.95,2,0,attached,attached,complete,,attached
tour,"7-Day Morocco Desert Tour from Chefchaouen Around Morocco",7-day-morocco-desert-tour-from-chefchaouen-around-morocco,"assets/images/programs/Tours from Chefchaouen/7-day around Morocco from Chefchaouen",7-day-around-morocco-from-chefchaouen-chefchaouen-blue-city-panorama-cover.webp,"normalized-exact: Duration matches: 7 days | Origin matches: Chefchaouen | 'Around Morocco' matches",0.95,2,0,attached,attached,complete,,attached
